channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
0,1,1,0.9950437636329503,-1,-1,0.998031903474788,0.9997464408909772,0.9988146609490879,0.9990998806270313,0.9993839836881546,0.9999275715040346
1,2,2,0.9677463798512079,-1,-1,0.9760788353059981,0.9933163207353238,0.9919976962352688,0.968601017967245,0.9874328877031544,0.9994412807636045
2,3,3,0.9300046868212968,-1,-1,0.9372183682337781,0.9765518771065861,0.9786747620808791,0.90717694757202,0.9606597684597721,0.9976369533556185
3,4,4,0.9302650881094734,-1,-1,0.9204061273722369,0.9578373919672656,0.9618365320196206,0.8908715543932949,0.9453743401254453,0.9870307837668335
4,5,5,0.8771670141389086,-1,-1,0.8662454335830435,0.921270262507909,0.9352563677614639,0.8494159067082588,0.9056048573074114,0.9809186843356343
5,6,6,0.8664088229129845,-1,-1,0.8438157848758281,0.9298214352569029,0.9121937453752629,0.8438189777272048,0.9245942438647776,0.9601381038344294
6,7,7,0.8541104760429623,-1,-1,0.8336308468036463,0.9223964340141583,0.9036161162896438,0.8396980108004156,0.9170716935116251,0.9511101585632351
7,8,8,0.7619963671770245,-1,-1,0.737786626140903,0.8189268591011998,0.7987896446223689,0.8098295628480894,0.8195261570767662,0.8411352833376912
8,9,9,0.7945233469010293,-1,-1,0.7716375266421125,0.8297527125313194,0.8331460808113393,0.8289029959954771,0.8362390447275481,0.8680710445630467
9,10,10,0.8235658007445328,-1,-1,0.8014403541012738,0.8493487950425757,0.8578986028487173,0.8433614020293487,0.8541738479285289,0.887377907975384
10,11,11,0.8447600606498674,-1,-1,0.8251927826687515,0.8657949346951103,0.8701552233933786,0.8564491107731093,0.8650545959261935,0.9007401048309959
11,12,12,0.8657068070178121,-1,-1,0.851172590104266,0.8830705275431099,0.8872922476692501,0.8732458729259528,0.8813163168165331,0.9144297196368509
12,13,13,0.8777898696923689,-1,-1,0.8636362558170111,0.8915469623245176,0.8982925919513539,0.8816219785962086,0.8912501426336006,0.9218205953699666
13,14,14,0.8873136258188357,-1,-1,0.8730677110950779,0.8976788990753312,0.9110945323454791,0.8881674871299648,0.8991093980378954,0.9295800663733348
14,15,15,0.8923948595589404,-1,-1,0.8786094341035432,0.9042559371682003,0.915756243307085,0.8931364628866144,0.9048116744027042,0.935263712029496
15,16,16,0.9049042161178177,-1,-1,0.8905336650394067,0.9168389223151638,0.9265632092548964,0.9047966130538393,0.916570064414787,0.9468078161985879
16,17,17,0.9999999999997435,-1,-1,0.9999995384152467,0.9999993022210473,0.9999998906464186,0.9999976092736705,0.9999998241333357,0.999995843146385
17,18,18,0.9313122332652798,-1,-1,0.9188579695425445,0.9400895683078689,0.9554061880964625,0.9306330555623403,0.9374590888344305,0.967547380843849
18,19,19,0.9382338603196159,-1,-1,0.9267688872049811,0.9457971768850003,0.9601217178568164,0.9373442270298988,0.9431923056225598,0.9703359852375217
19,20,20,0.9451018555420301,-1,-1,0.9350483066772223,0.9511271000192502,0.9641920420751428,0.9438192436888192,0.9489906411843562,0.9725646907392494
