channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
60,61,54,0.9999659087640106,0.999966872397299,0.9999672761262404,0.9999681529150014,0.9999565809580044,0.9999556089057735,0.9999637813014266,0.9999464048750689,0.9999499298816338
61,62,55,0.9999605709940164,0.9999576415437788,0.9999550332084867,0.9999605078359217,0.9999454704408497,0.9999455347468159,0.9999453014934384,0.9999251602600006,0.9999399750627412
62,63,56,0.99995147297856,0.9999452228218231,0.9999584673918911,0.9999413134998052,0.9999317450122692,0.9999506022289941,0.999939936785925,0.9999534264002511,0.9999605547464285
63,65,169,0.9999336293588625,0.9999345108148247,0.9999493111631985,0.9999549546372395,0.9999224690933074,0.9999134769155738,0.9998927688485357,0.9999259931675902,0.9999516616717806
64,66,169,0.9999822989061564,0.9999844630036471,0.9999873920213664,0.9999824563263952,0.9999860662547023,0.9999937540918696,0.9999992048355972,0.9999991011422797,0.9999788917781127
65,67,57,0.9999521947293315,0.9999522604636769,0.9999652081630197,0.9999494019754279,0.9999582093549941,0.9999741146603457,0.999976253551828,0.9999554803568034,0.9999561081057349
66,68,58,0.9999737353536134,0.9999800650892121,0.9999788537524947,0.9999833074324419,0.9999849133199429,0.9999794927868273,0.9999788426263831,0.9999766554524501,0.9999548615035408
67,69,57,0.9999718472724293,0.9999683302716441,0.9999770848154168,0.9999720237723956,0.9999742043942906,0.9999927336920265,0.9999882408575085,0.9999876358606842,0.9999727509294962
68,70,59,0.9999654552768438,0.999984636097416,0.9999875255989963,0.9999767053595641,0.9999911297071641,0.9999871518708054,0.9999850133940819,0.9999818651965785,0.9999735294288933
69,71,60,0.9999624163150141,0.9999808796435241,0.99998399580821,0.9999698231997549,0.9999841896749564,0.9999745853289255,0.9999779338204267,0.9999664567317598,0.9999719570140817
70,72,61,0.9999524818976616,0.9999822743673611,0.9999777664810755,0.9999690136759465,0.9999743986636344,0.9999602647808608,0.9999568833635021,0.9999522052717562,0.9999682948258406
71,73,62,0.9999462414141163,0.9999791215246301,0.999971042144618,0.9999631707022407,0.9999664680114395,0.9999471217267879,0.9999453224632978,0.9999577745203021,0.999960357833988
72,74,63,0.9999437203079836,0.9999802809997792,0.9999727624972694,0.9999560111776089,0.9999603890801622,0.9999438527789029,0.9999421715941403,0.9999547015873237,0.99995856797294
73,75,64,0.9999405666442699,0.999973475860453,0.9999756333128315,0.9999501904498272,0.9999560505729843,0.9999279967673768,0.9999388008418253,0.9999481562611007,0.9999523240096756
74,76,65,0.9999385349838562,0.9999729792828244,0.999966692634942,0.9999429526416177,0.9999277270662801,0.9999226118944525,0.99990821327538,0.9999356645322796,0.9999435695443614
75,77,66,0.9999501207426795,0.9999771363287838,0.9999736827614573,0.9999495867312241,0.9999438875341188,0.9999281514018624,0.9999359468151123,0.9999585779876212,0.9999570757788688
76,78,67,0.9999510084461443,0.9999725815434807,0.9999640201184592,0.9999421623254479,0.9999442372651786,0.9999023160221314,0.9998908257796321,0.9999217235007103,0.9999516661420578
77,79,68,0.9999435490956194,0.9999536181475586,0.9999382691765908,0.9999289974536301,0.9999315481398662,0.9998462132732251,0.9998730542202763,0.9998856132187147,0.9999219941854047
78,80,69,0.9999455508287725,0.9999521195834356,0.9999465702340792,0.9999351650096725,0.9999395724494469,0.9998636240562783,0.9998790878140615,0.9998865480807538,0.9999362536585967
79,81,70,0.9999461016193545,0.9999259246184622,0.9999546629926367,0.999970829180503,0.9999571272167156,0.9999422637599411,0.9999205639966773,0.9999580836157135,0.999966646186462
80,82,71,0.9999039176567551,0.9998970379268063,0.9998562323634472,0.9999125363949825,0.9998989724159841,0.9998463798997217,0.9998866180904088,0.9999052085882454,0.9998990773289842
81,83,44,0.9998652591351511,0.999855648405205,0.999810772063982,0.9998806559824529,0.999866491070525,0.9997618184878366,0.9998554415949791,0.999868282063591,0.9998737035162018
82,84,73,0.9999019360066205,0.9998891524382334,0.9998607720361047,0.9998993040313743,0.9998909710275582,0.9998235341655232,0.9998972614470041,0.999898243653875,0.9998977151455574
83,85,74,0.9998995427655005,0.9998923671527862,0.9998696642868214,0.9998972556314908,0.9998880105568526,0.9998201640650228,0.9998932438746392,0.9999010815493037,0.9998939721701118
84,86,75,0.9999448783993362,0.999936065679004,0.9999232431945302,0.9999527853336545,0.9999309652666568,0.9999025062776843,0.999932367399264,0.9999482099677548,0.9999336879407519
85,88,77,0.9999118468448729,0.9999057342752284,0.9998748316527655,0.9999187095727385,0.9999026050917793,0.9998492668318084,0.9999077909734657,0.9999151614556409,0.9999011342362674
86,89,78,0.9999225838807654,0.9999120679843492,0.9998911109171149,0.9999163941514839,0.999914401468408,0.999856378735449,0.9999138437861494,0.9999230759229802,0.9999052774371272
87,90,79,0.9999173947536133,0.9999121060873374,0.9998866087410583,0.999922328549907,0.999906866388729,0.9998542693325231,0.999912004120815,0.9999250021347403,0.9999083077296037
88,91,80,0.9999140131519486,0.999912218681852,0.9998860877017113,0.9999230111045011,0.9999127678245645,0.999863133965292,0.9999060804976934,0.9999170745163108,0.9999066514785129
89,92,81,0.999925156959937,0.999917138248116,0.9998989678766586,0.9999309135368277,0.999913342540276,0.9998611527238194,0.9999175016410891,0.9999206686642297,0.9999151446547591
90,94,82,0.9999171235834223,0.9999135809991909,0.999885531481034,0.9999210829542384,0.999908851250423,0.9998541358479272,0.9999075811103819,0.999915981365191,0.9999222680126532
91,95,84,0.999940577085383,0.9999369964845192,0.9999150679840316,0.9999451876447891,0.9999417916120806,0.9998962925016843,0.999932723738788,0.9999409589656357,0.9999444155605424
92,96,85,0.999935784531476,0.9999300313836201,0.99990406585917,0.9999385020380023,0.9999404290656195,0.9998858538750195,0.9999211363113601,0.9999352112715061,0.9999425735663371
93,97,86,0.9999249489080029,0.9999050756206131,0.9998778739691379,0.9999297515661488,0.9999141220103313,0.9998556924963788,0.9999042464782286,0.9999180033547747,0.9999224756862872
94,101,88,0.9999075300886396,0.9999092964034679,0.9998765252916196,0.99991551970925,0.9999122657907539,0.9998426203544468,0.9999012616196458,0.9999132617687576,0.9999186870768954
95,102,89,0.9999126221612021,0.9999082786875695,0.9998744064514256,0.9999150432084967,0.9999153104378463,0.9998503786197706,0.9998975958103354,0.999914842114051,0.9999156277040732
