channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
0,1,1,0.9999930015409361,0.9999976498468696,0.999981378219528,0.999999999996803,0.999992594774198,0.9999952663549155,-1,0.9999891850796787,0.9999661433646467
1,2,2,0.9999929716518883,0.9999955694823093,0.9999724508385387,0.9999999360833437,0.9999892902362906,0.9999900917846197,-1,0.9999915972020934,0.9999533394006448
2,3,3,0.9999858924367822,0.9999941770855778,0.9999762273761325,0.9999954143750474,0.999983565946716,0.9999927232606304,-1,0.9999888918836853,0.9999431458734486
3,4,4,0.9999776701442891,0.9999872004129619,0.9999664878385142,0.9999785117112577,0.9999654496490347,0.999992702970953,-1,0.9999742220281238,0.9999588491733943
4,5,5,0.9999682662974083,0.9999821448833193,0.9999634246595498,0.9999851454091336,0.9999800942552569,0.9999898223874626,-1,0.9999800923112241,0.9999378078099491
5,6,6,0.999968906925187,0.9999633752669806,0.9999580049566323,0.9999616531536215,0.9999539165633253,0.9999807061011757,-1,0.9999545754542064,0.999922889769411
6,7,7,0.9999631012142105,0.9999565649111165,0.9999420925614435,0.9999509036803873,0.9999463201114335,0.9999660135931999,-1,0.9999592663948138,0.9999152262561164
7,8,8,0.9999500477860619,0.9999485414052415,0.9999479110970435,0.9999274944128583,0.9999500478869479,0.9999697055592761,-1,0.9999442785329392,0.9999105472577724
8,9,9,0.9999259086554209,0.9999242668854039,0.9999233047101824,0.9998789411480815,0.999920175558263,0.9999471159919928,-1,0.9999161549619129,0.99987026198009
9,10,10,0.9999365276019576,0.9999310107620725,0.999918757679538,0.999882331387616,0.9999307316005166,0.9999426439102219,-1,0.9999142433255288,0.9998927417614044
10,11,11,0.9999374163610405,0.9999304703734697,0.9999169943797843,0.9998804247331838,0.9999266491961285,0.9999406525149782,-1,0.999908674138863,0.9998763984643251
11,12,12,0.9999323760411349,0.9999182259965445,0.9999003821343352,0.9998644302408042,0.9999126695519323,0.9999299914972899,-1,0.999902246757368,0.9998551888851868
